time	I(C1)	I(C2)	I(L1)
1.017454298439462e+002	-2.680983e-002	3.607396e-002	1.356752e+000
1.020454298439461e+002	-2.969829e-002	3.880930e-002	1.360111e+000
1.025882869868033e+002	-3.403931e-002	4.288021e-002	1.365510e+000
1.031311441296604e+002	-3.715703e-002	4.573529e-002	1.369705e+000
1.036740012725175e+002	-3.905144e-002	4.737453e-002	1.372697e+000
1.042168584153746e+002	-3.972255e-002	4.779793e-002	1.374485e+000
1.047597155582317e+002	-3.917037e-002	4.700550e-002	1.375069e+000
1.053025727010888e+002	-3.739488e-002	4.499723e-002	1.374450e+000
1.058454298439459e+002	-3.439608e-002	4.177312e-002	1.372627e+000
1.061025727010888e+002	-3.262523e-002	3.989768e-002	1.371341e+000
1.063597155582316e+002	-3.069099e-002	3.786029e-002	1.369860e+000
1.066168584153745e+002	-2.859336e-002	3.566094e-002	1.368183e+000
1.068740012725173e+002	-2.633234e-002	3.329962e-002	1.366310e+000
1.071311441296601e+002	-2.390792e-002	3.077635e-002	1.364240e+000
1.073882869868030e+002	-2.132012e-002	2.809113e-002	1.361975e+000
1.076454298439458e+002	-1.856892e-002	2.524394e-002	1.359514e+000
1.078168584153744e+002	-1.669410e-002	2.330586e-002	1.357808e+000
1.079882869868030e+002	-1.479660e-002	2.134569e-002	1.356061e+000
1.081597155582315e+002	-1.287641e-002	1.936342e-002	1.354272e+000
1.083311441296601e+002	-1.093354e-002	1.735904e-002	1.352442e+000
1.085025727010886e+002	-8.967976e-003	1.533257e-002	1.350571e+000
1.086740012725172e+002	-6.979729e-003	1.328399e-002	1.348659e+000
1.088454298439458e+002	-4.968797e-003	1.121332e-002	1.346705e+000
1.092454298439457e+002	-3.152771e-004	6.422563e-003	1.342110e+000
1.093454298439457e+002	8.407889e-004	5.232662e-003	1.340953e+000
1.095454298439457e+002	3.136122e-003	2.870219e-003	1.338635e+000
1.096454298439457e+002	4.273143e-003	1.699923e-003	1.337478e+000
1.097454298439457e+002	5.401591e-003	5.383831e-004	1.336322e+000
1.098454298439457e+002	6.520377e-003	-6.133115e-004	1.335170e+000
1.099454298439457e+002	7.628429e-003	-1.754089e-003	1.334023e+000
1.101454298439457e+002	9.808123e-003	-3.998693e-003	1.331746e+000
1.103454298439457e+002	1.193244e-002	-6.187203e-003	1.329501e+000
1.106454298439457e+002	1.499786e-002	-9.347581e-003	1.326211e+000
1.109454298439456e+002	1.789568e-002	-1.233879e-002	1.323039e+000
1.112454298439456e+002	2.060254e-002	-1.513751e-002	1.320011e+000
1.115454298439456e+002	2.309721e-002	-1.772250e-002	1.317152e+000
1.118454298439456e+002	2.536067e-002	-2.007479e-002	1.314484e+000
1.121454298439456e+002	2.737628e-002	-2.217778e-002	1.312029e+000
1.124454298439456e+002	2.912992e-002	-2.401734e-002	1.309804e+000
1.129168584153741e+002	3.130658e-002	-2.632595e-002	1.306788e+000
1.133882869868026e+002	3.278536e-002	-2.793348e-002	1.304468e+000
1.138597155582312e+002	3.356626e-002	-2.883993e-002	1.302844e+000
1.143311441296597e+002	3.364929e-002	-2.904530e-002	1.301916e+000
1.148025727010883e+002	3.303445e-002	-2.854960e-002	1.301684e+000
1.152740012725168e+002	3.172172e-002	-2.735282e-002	1.302148e+000
1.157454298439454e+002	2.971113e-002	-2.545496e-002	1.303308e+000
1.160025727010882e+002	2.836950e-002	-2.417367e-002	1.304230e+000
